Site,Reference,STORD,ALT,DFS,LAT,LONG,CATA,ALK,BNKW,BNKH,COND,PRIF,RDEP,RVEL,REBE,REBO,RECO,REPE,REGR,RBED,RBOU,RCOB,RPEB,RGRA,SUBS,VD,PRRR
182-T,1,2,1360,5,3638.00,14834.00,5,8,5,1.2,17,70,17,0.51,0,5,35,20,20,0,0,40,30,20,18,15,11
185-T,1,3,1300,7,3635.00,14838.00,12.6,18,7.5,0.5,35.4,70,20,0.38,10,20,30,20,10,10,10,30,20,20,18,15,12
47-D0,0,6,510,210,3525,14900,4200,96,80,1,0.184,20,13,0.43,25,25,20,20,5,0,40.0,30,20,5,18,16,12
61-D0,0,2,630,4,3527,14907,8,49,3,0,0.543,10,11,0.22,10,30,30,10,10,5,20.0,30,20,15,16,15,13
119-D0,0,4,580,22,3557,14905,112,30,18,1,312,60,13.33,0.64,0,0,10,30,20,0,0.0,10,30,30,14,16,11
122-D0,0,8,380,289,3506,14855,8866,50,60,3.5,168.6,70,32.33,0.92,40,10,20,10,10,30,10.0,20,20,10,11,20,15
133-D0,0,5,680,41,3525,14843,304,36,15,0.5,56.1,60,44.7,1.48,5,5,50,20,10,2,0.0,60,30,3,18,15,13
136-D0,0,5,680,48,3523,14844,394,40,15,1.2,55.9,20,51,1.21,0,50,35,5,5,20,35.0,20,10,10,19,15,12
148-D0,0,5,720,47,3559,14911,720,70,30,1.5,196,30,10.33,0.42,0,0,10,20,20,0,0.0,10,40,20,10,10,5
151-D0,0,6,700,158,3602,14908,3448,22,60,2,56.6,20,21,1.33,0,10,50,20,10,0,10.0,60,10,10,20,15,12
152-D0,0,6,700,148,3605,14908,1851,18,35,1.5,44.6,30,25,1.10,0,5,50,20,10,0,10.0,50,20,10,20,17,13
286-D0,0,5,590,89,3525,14916,106,38,8,2,85.2,10,12.7,0.61,5,3,75,5,5,5,5.0,60,5,15,12,12,7
290-D0,0,4,900,31,3532,14850,199,10,20,2,29.5,40,8.7,0.45,0,10,60,20,10,0,15.0,55,20,10,18,14,11
315-D0,0,4,670,15.6,3526,14844,44,24,5,1,37.6,20,15.3,0.51,5,5,35,35,10,0,0.0,40,40,10,15,10,10
316-D0,0,4,680,17.9,3527,14843,65,14,7,1.4,38.7,70,15.7,0.87,10,20,30,10,10,5,30.0,40,10,5,19,10,7
345-D0,0,4,920,17.2,3545,14923,40,20,7,1.5,44.1,20,22.5,0.61,70,5,5,5,5,70,0.0,10,10,10,8,16,10
